"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 22 14:10:03 CST 2024","Mon Apr 22 14:10:03 CST 2024","23","testcase","test_UserManager","TestUserManage","","","test_getToken[casedata1]",""
"passed","Mon Apr 22 14:10:03 CST 2024","Mon Apr 22 14:10:03 CST 2024","432","testcase","test_UserManager","TestUserManage","","","test_getToken[casedata0]",""
